source,target,source example,target example,source language,target language,source segment,url,comment
"riga","line","Prima dell'elaborazione, per favore firma la riga del beneficiario.","Before processing, please endorse your name on the payee line.","it","en","","","row, ruler"
"affollato","crowded","I bambini spesso si agitano quando si perdono in un luogo affollato.","Children often panic when they get lost in a crowded place.","it","en","","","busy, bustling"
"sbarcare il lunario","make ends meet","Per sbarcare il lunario, hanno imparato a cavarsela insieme.","To make ends meet, they have learned to get by together.","it","en","","","scratch out a living, keep the wolf from the door"
"parete","wall","Ha appeso le foto alla parete per esporre i suoi ricordi.","She arranged the pictures along the wall to display her memories.","it","en","","","face, wall-mounted"
"previsto","expected","La nuova routine di esercizi lo fece sudare più del previsto.","The unfamiliar exercise routine made him sweat more than he expected.","it","en","","","planned, scheduled"
"inserzione","insertion","Lo studio ha documentato molteplici casi di inserzione in vari organismi viventi.","The study documented multiple cases of insertion in various living organisms.","it","en","","","ad, listing"
"ruota","wheel","Puoi far girare la ruota per vincere un premio alla fiera.","You can spin the wheel to win a prize at the fair.","it","en","","","tire, cartwheel"
"incazzare","piss off","Zoe ha quasi fatto sesso con me per far incazzare la madre.","Zoe almost had sex with me to piss off her mom.","it","en","","","mess with, fuck with"
"fare fuori","take out","Potrei fare fuori due di voi prima che chiunque spari un colpo.","I could take out two of you before anybody gets off a shot.","it","en","","","do outside, do off"
"scorte","stock","La libreria sta facendo una vendita promozionale per svendere le vecchie scorte.","The bookstore is having a clearance sale to sell off old stock.","it","en","","","supply, inventory"
"riferire","report","I media hanno seguito da vicino la condanna, desiderosi di riferire sull'esito.","The media closely followed the sentencing, eager to report on the outcome.","it","en","","","refer, tell"
"mantenere la macchina in funzione","Keep the machine running","","","it","en","","",""
"di corsa","racing","Ha menzionato che le edizioni storiche dell'evento di corsa erano notevoli.","She mentioned the historical runs of the racing event were remarkable.","it","en","","","fast, in a rush"
"scozzese","Scottish","Tutti si unirono alla giga, godendosi l'allegra musica scozzese.","Everyone joined in the reel, enjoying the lively Scottish music.","it","en","","",""
"briciola","crumb","Si è tolta la briciola dal vestito prima di andare alla festa.","She brushed the crumb off her dress before heading into the party.","it","en","","",""
"puzzare","smell","Dobbiamo pulire il maledetto frigorifero; sta iniziando a puzzare.","We need to clean out the stinking refrigerator; it's starting to smell.","it","en","","",""
"concedersi","enjoy","Ideale nella pausa caffè per concedersi un gustoso momento di piacere.","Ideal in the coffee break to enjoy a delicious moment of pleasure.","it","en","","",""
"punteggio","score","Il punteggio finale ha assicurato la loro vittoria nella partita combattuta.","The finishing score ensured their victory in the closely contested match.","it","en","","",""
"miele","honey","Un cucchiaino di miele può esaltare il sapore del tè verde.","A teaspoon of honey can enhance the flavor of green tea.","it","en","","",""
"nocciola","hazelnut","Preferiva il caffè aromatizzato, soprattutto con note di nocciola.","He preferred flavored coffee, especially with hints of hazelnut.","it","en","","",""
"di fretta","in a rush","Abbiamo lasciato la cucina macchiata di fretta per prendere l'autobus.","We left the stained kitchen in a rush to catch the bus.","it","en","","","in haste, hastily"
"presunzione","presumption","Il sole è la presunzione più importante per la vita sulla terra.","The sun is the most important presumption for life on earth.","it","en","","","conceit, assumption"
"baita","cabin","Decisero di costruire la loro baita in una tranquilla zona a sud-est.","They decided to build their cabin in a quiet southeast location.","it","en","","","hut, lodge"
"staccare la spina","pull the plug","Ricordati di staccare la spina dell'altoparlante prima di scollegarlo.","Make sure to pull the plug on the speaker before unplugging it.","it","en","","","unplug, unwind"
"spettatore","viewer","Uno spettatore confuso ha alzato la mano per fare una domanda sulla trama.","A confused viewer raised their hand to ask a question about the storyline.","it","en","","",""
"traboccare","overflow","Ai bordi della fontana, l'acqua continuava ad accumularsi e traboccare.","At the fountain's edge, water would continually pool and overflow.","it","en","","","boil over, spill over"
"goccia","drop","Il bambino prendeva piccoli sorsi di zuppa, assaporando ogni goccia.","The little boy took tiny swallows of soup, savoring every drop.","it","en","","",""
"mortorio","morgue","Questo posto è diventato un mortorio.","This place is like a morgue.","it","en","","",""
"smarrimento","loss","Le formalità di furto e/o smarrimento di documenti ed oggetti personali.","The formality of theft and/or loss of documents and personal belongings.","it","en","","",""
"scolorire","discolor","Ognuno di questi contiene sostanze chimiche che aderiscono e scolorire i denti.","Each of these contains chemicals that adhere to and discolor your teeth.","it","en","","",""
"scadente","poor","Alla squadra mancava motivazione, risultando in una prestazione scadente durante la partita.","The team was lacking motivation, resulting in poor performance during the game.","it","en","","",""
"appoggiare","support","Posso appoggiare la tua decisione, entro certi limiti, ma ho delle riserve.","I can support your decision, to a certain extent, but I have reservations.","it","en","","","place, put"
"ansiogeno","anxiety-inducing","Abbastanza per riconoscere un agente ansiogeno quando ne sento l'odore.","Enough to recognise an anxiety-inducing agent when I smell one.","it","en","","",""
"rovinare","ruin","Parlavano a bassa voce, non volendo rovinare l'atmosfera serena.","They spoke softly, not wanting to ruin the serene atmosphere.","it","en","","","spoil, mess up"
"fiero","proud","Il cactus colonnare si ergeva solitario nel deserto, resistente e fiero.","The trunking cactus stood alone in the desert, resilient and proud.","it","en","","","fierce, bold"
"brodo","broth","Farà macerare le verdure nel brodo per esaltarne i sapori naturali.","He will steep the vegetables in broth to enhance their natural flavors.","it","en","","","stock, soup"
"scoraggiare","discourage","La squadra indossava divise neutre per scoraggiare il favoritismo tra i giocatori.","The team wore neutral uniforms to discourage favoritism among the players.","it","en","","","deter, put off"
"inoltrare","forward","Ha accettato di inoltrare prontamente il mio curriculum al responsabile delle assunzioni.","She agreed to forward my resume to the hiring manager promptly.","it","en","","","submit, send"
"aggiornare","update","Molti brand rinnovano i loro elementi visivi per aggiornare la propria identità.","Many brands refresh their visual elements to update their brand identity.","it","en","","","upgrade, refresh"
"dannoso","harmful","Un approccio critico può essere dannoso e creare tensioni inutili tra colleghi.","A judging approach can be harmful and create unnecessary tensions among colleagues.","it","en","","","malicious, damaging"
"sconvolgente","shocking","È stato sconvolgente vedere con quale rapidità la situazione sia degenerata in violenza.","It was shocking how quickly the situation escalated into violence.","it","en","","","upsetting, overwhelming"
"spalmare","spread","Abbiamo passato una noce di burro da spalmare sul nostro pane di mais.","We passed around a knob of butter to spread on our cornbread.","it","en","","","smear, apply"
"spalmabile","spreadable","La salsa era spalmabile e poteva essere facilmente spalmata sui pita chips.","The dip was spreadable and could be easily smeared on pita chips.","it","en","","","spread, brushable"
"pallavolo","volleyball","Gli atleti più alti tendono ad eccellere nel basket e nella pallavolo.","The taller athletes tend to excel in basketball and volleyball.","it","en","","","volley ball, pallavolo"
"impostato","set","Ha impostato il fornello a fiamma media per il suo stir-fry.","He set the stove burner to medium heat for his stir-fry.","it","en","","","setting, configured"
